norm_name,CODEISO3,ambiguité,dep_code
aast,FRA,1,64
abainville,FRA,1,55
abaucourt,FRA,1,54
abaucourt hautecourt,FRA,1,55
abaucourt souppleville,FRA,1,55
abbans dessous,FRA,1,25
abbans dessus,FRA,1,25
abbaretz,FRA,1,44
abbenans,FRA,1,25
abbeville,FRA,1,80
abbeville conflans,FRA,1,54
abbeville riviere,FRA,1,91
abbeville saint lucien,FRA,1,60
abbevillers,FRA,1,25
abeilhan,FRA,1,34
abelcourt,FRA,1,70
abere,FRA,1,64
abergement clemenciat,FRA,1,01
abergement cuisery,FRA,1,71
abergement grand,FRA,1,39
abergement petit,FRA,1,39
abergement ronce,FRA,1,39
abergement sainte colombe,FRA,1,71
abergement thesy,FRA,1,39
abergement varey,FRA,1,01
abidos,FRA,1,64
abilly,FRA,1,37
abitain,FRA,1,64
abjat,FRA,1,24
abjat bandiat,FRA,1,24
ablain saint nazaire,FRA,1,62
ablaincourt,FRA,1,80
ablaincourt pressoir,FRA,1,80
ablainzevelle,FRA,1,62
ablancourt,FRA,1,51
ableiges,FRA,1,95
ableuvenettes,FRA,1,88
ablis,FRA,1,78
ablois,FRA,1,51
ablon,FRA,1,14
ablon seine,FRA,1,94
aboen,FRA,1,42
aboncourt gesincourt,FRA,1,70
aboncourt seille,FRA,1,57
abondance,FRA,1,74
abondant,FRA,1,28
abos,FRA,1,64
abreschviller,FRA,1,57
abrest,FRA,1,03
abrets,FRA,1,38
abrets dauphine,FRA,1,38
abries,FRA,1,05
abscon,FRA,1,59
absie,FRA,1,79
abymes,FRA,1,971
accolans,FRA,1,25
accolay,FRA,1,89
accons,FRA,1,07
accous,FRA,1,64
achain,FRA,1,57
achen,FRA,1,57
achenheim,FRA,1,67
acheres foret,FRA,1,77
achery,FRA,1,02
acheux amienois,FRA,1,80
acheux vimeu,FRA,1,80
acheville,FRA,1,62
achey,FRA,1,70
achicourt,FRA,1,62
achiet grand,FRA,1,62
achiet petit,FRA,1,62
achun,FRA,1,58
achy,FRA,1,60
acigne,FRA,1,35
aclou,FRA,1,27
acon,FRA,1,27
acoua,FRA,1,976
acq,FRA,1,62
acquigny,FRA,1,27
acquin,FRA,1,62
acquin westbecourt,FRA,1,62
acy multien,FRA,1,60
acy romance,FRA,1,08
adaincourt,FRA,1,57
adainville,FRA,1,78
adam passavant,FRA,1,25
adam vercel,FRA,1,25
adamswiller,FRA,1,67
adast,FRA,1,65
ade,FRA,1,65
adelange,FRA,1,57
adelans,FRA,1,70
adelans val bithaine,FRA,1,70
adervielle,FRA,1,65
adervielle pouchergues,FRA,1,65
adilly,FRA,1,79
adinfer,FRA,1,62
adissan,FRA,1,34
adjots,FRA,1,16
adon,FRA,1,45
adrets,FRA,1,38
adrets esterel,FRA,1,83
adrets frejus,FRA,1,83
adriers,FRA,1,86
afa,FRA,1,2A
affieux,FRA,1,19
affleville,FRA,1,54
affoux,FRA,1,69
affracourt,FRA,1,54
affringues,FRA,1,62
agassac,FRA,1,31
agde,FRA,1,34
agel,FRA,1,34
agen,FRA,1,47
agen aveyron,FRA,1,12
agencourt,FRA,1,21
agenville,FRA,1,80
agenvillers,FRA,1,80
ageux,FRA,1,60
ageville,FRA,1,52
agey,FRA,1,21
aghione,FRA,1,2B
agincourt,FRA,1,54
agme,FRA,1,47
agnac,FRA,1,47
agnat,FRA,1,43
